Country,Age,Annual_Salary,Gender,Education,Payment_Method_Credit_Debit,Living_Region,Online_Service_Preference,AI_Enhance_Experience,AI_Satisfaction,AI_Tools_Used_Chatbots,AI_Tools_Used_Virtual_Assistant,AI_Tools_Used_Voice_Photo,Payment_Method_COD,Payment_Method_Ewallet,Product_Category_Appliances,Product_Category_Electronics,Product_Category_Groceries,Product_Category_Personal_Care,Product_Category_Clothing,AI_Trust,AI_Usage
INDIA,Gen Z,Low,Male,University Graduate,NO,Rural Areas,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,High,high
INDIA,Millennials,Medium High,Male,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,Moderate,low
INDIA,Millennials,High,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,High,high
INDIA,Gen Z,Low,Male,University Graduate,NO,Metropolitan,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,Moderate,high
INDIA,Millennials,Low,Female,Highschool Graduate,NO,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,Moderate,high
INDIA,Gen X,Medium,Male,University Graduate,YES,Metropolitan,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,Moderate,none
INDIA,Millennials,High,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,Moderate,low
INDIA,Millennials,Low,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,Moderate,high
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Moderate,high
INDIA,Millennials,Medium High,Male,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,High,high
INDIA,Gen Z,Medium High,Male,University Graduate,YES,Metropolitan,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,Moderate,high
INDIA,Millennials,Low,Male,University Graduate,YES,Rural Areas,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Moderate,high
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,Moderate,high
INDIA,Gen Z,Low,Male,University Graduate,NO,Rural Areas,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Moderate,moderate
INDIA,Gen Z,Medium,Male,Master's Degree,YES,Metropolitan,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Moderate,high
INDIA,Gen Z,High,Female,Highschool Graduate,NO,Metropolitan,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,High,high
INDIA,Millennials,Low,Female,University Graduate,YES,Metropolitan,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,Moderate,none
INDIA,Gen Z,Low,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Moderate,high
INDIA,Millennials,Low,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,Moderate,high
INDIA,Gen Z,Low,Female,University Graduate,NO,Metropolitan,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,Moderate,low
INDIA,Millennials,Low,Male,University Graduate,NO,Metropolitan,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,Moderate,moderate
INDIA,Gen Z,Low,Female,University Graduate,YES,Metropolitan,YES,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,High,low
INDIA,Millennials,Medium,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,Moderate,high
INDIA,Millennials,Medium,Male,Master's Degree,YES,Metropolitan,NO,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,Moderate,moderate
INDIA,Millennials,Medium,Male,Master's Degree,YES,Metropolitan,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,High,moderate
INDIA,Gen Z,Low,Male,University Graduate,NO,Rural Areas,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,Moderate,moderate
INDIA,Millennials,Medium High,Female,University Graduate,YES,Metropolitan,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,High,high
INDIA,Gen Z,Low,Male,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,High,high
INDIA,Gen Z,Low,Female,University Graduate,NO,Rural Areas,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,Moderate,low
INDIA,Gen Z,Low,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,Moderate,high
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,Moderate,moderate
INDIA,Gen Z,Low,Female,University Graduate,YES,Rural Areas,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,Moderate,moderate
INDIA,Gen Z,Low,Female,University Graduate,NO,Metropolitan,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,Moderate,low
INDIA,Millennials,Low,Female,University Graduate,NO,Metropolitan,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,Moderate,none
INDIA,Gen Z,Low,Female,University Graduate,YES,Metropolitan,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,Moderate,high
INDIA,Gen Z,Low,Female,University Graduate,NO,Rural Areas,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,Moderate,none
INDIA,Millennials,Low,Female,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,Moderate,moderate
INDIA,Gen Z,Low,Female,Doctorate Degree,NO,Metropolitan,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,High,low
INDIA,Gen Z,Low,Female,University Graduate,YES,Metropolitan,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Moderate,none
INDIA,Gen Z,Low,Female,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,Moderate,high
INDIA,Millennials,Low,Male,University Graduate,NO,Metropolitan,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,High,low
INDIA,Gen Z,Medium,Male,Master's Degree,NO,Metropolitan,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,Moderate,low
INDIA,Gen Z,Low,Female,University Graduate,NO,Metropolitan,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,High,none
INDIA,Gen Z,Low,Female,Highschool Graduate,NO,Metropolitan,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,Moderate,none
INDIA,Gen X,Medium High,Female,University Graduate,YES,Metropolitan,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,Low,low
INDIA,Millennials,Medium,Female,Master's Degree,YES,Metropolitan,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Moderate,none
INDIA,Millennials,High,Male,Doctorate Degree,NO,Rural Areas,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Moderate,none
INDIA,Gen Z,Low,Female,University Graduate,NO,Metropolitan,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,Moderate,none
INDIA,Gen Z,Low,Male,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,Moderate,high
INDIA,Gen X,Medium High,Male,Master's Degree,YES,Metropolitan,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,Moderate,high
INDIA,Gen Z,Low,Female,Doctorate Degree,YES,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,Moderate,high
INDIA,Gen Z,Medium,Female,Highschool Graduate,YES,Rural Areas,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,Moderate,none
INDIA,Gen Z,Medium,Female,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,Moderate,moderate
INDIA,Gen X,Low,Female,Highschool Graduate,YES,Metropolitan,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,Moderate,low
INDIA,Gen Z,Low,Male,University Graduate,NO,Metropolitan,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,Low,high
INDIA,Gen X,Medium,Female,Highschool Graduate,NO,Metropolitan,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,Moderate,none
INDIA,Millennials,Low,Female,University Graduate,NO,Metropolitan,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,Moderate,none
INDIA,Millennials,Low,Female,Master's Degree,YES,Rural Areas,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,Low,none
INDIA,Millennials,Medium,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,Moderate,moderate
INDIA,Millennials,Low,Male,Master's Degree,YES,Metropolitan,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,Moderate,high
INDIA,Millennials,High,Male,University Graduate,YES,Metropolitan,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Moderate,none
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,Moderate,high
INDIA,Millennials,Medium,Female,University Graduate,YES,Rural Areas,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,Moderate,high
INDIA,Millennials,Medium,Female,University Graduate,YES,Metropolitan,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,Moderate,moderate
INDIA,Gen Z,High,Female,Highschool Graduate,YES,Metropolitan,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,Moderate,high
INDIA,Millennials,Low,Female,University Graduate,YES,Rural Areas,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,Moderate,low
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,Low,high
INDIA,Gen Z,Low,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,Moderate,low
INDIA,Millennials,Low,Female,University Graduate,YES,Metropolitan,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,Moderate,moderate
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Moderate,none
INDIA,Gen Z,Medium,Female,Highschool Graduate,YES,Metropolitan,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Moderate,none
INDIA,Gen Z,Medium,Female,Highschool Graduate,NO,Metropolitan,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,Moderate,moderate
INDIA,Gen Z,Low,Female,University Graduate,NO,Metropolitan,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,High,low
INDIA,Millennials,Medium,Female,Master's Degree,YES,Metropolitan,NO,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,Moderate,moderate
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,Moderate,none
INDIA,Millennials,Medium,Male,University Graduate,YES,Metropolitan,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Moderate,none
INDIA,Millennials,Medium,Female,Master's Degree,YES,Metropolitan,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,Moderate,none
INDIA,Millennials,Medium,Male,Master's Degree,NO,Metropolitan,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,Moderate,low
INDIA,Gen Z,Medium,Male,Master's Degree,YES,Metropolitan,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,Moderate,high
INDIA,Millennials,Low,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,High,none
INDIA,Millennials,Medium,Male,Master's Degree,YES,Metropolitan,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,YES,Moderate,low
INDIA,Gen Z,Low,Male,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,Moderate,high
INDIA,Gen Z,Low,Male,University Graduate,YES,Metropolitan,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,Moderate,moderate
INDIA,Millennials,Low,Male,University Graduate,NO,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,Moderate,high
INDIA,Gen Z,Medium,Female,Master's Degree,YES,Metropolitan,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,Moderate,high
INDIA,Gen Z,Medium,Female,Master's Degree,YES,Metropolitan,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,Moderate,moderate
INDIA,Millennials,Low,Male,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,Moderate,low
INDIA,Gen Z,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,Moderate,high
INDIA,Gen Z,Low,Female,University Graduate,YES,Rural Areas,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,High,moderate
INDIA,Millennials,Medium High,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,High,high
INDIA,Gen Z,Medium,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,Moderate,moderate
INDIA,Millennials,Low,Male,Master's Degree,NO,Metropolitan,NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,Moderate,moderate
INDIA,Millennials,Low,Female,University Graduate,NO,Rural Areas,YES,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,High,low
INDIA,Gen Z,Low,Male,University Graduate,NO,Rural Areas,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,Moderate,none
INDIA,Millennials,Medium,Male,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,Moderate,low
INDIA,Gen Z,Medium,Male,University Graduate,NO,Rural Areas,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,High,moderate
INDIA,Millennials,Medium,Male,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,High,moderate
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,Moderate,high
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,Moderate,high
INDIA,Millennials,Medium High,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,Moderate,high
INDIA,Millennials,Low,Female,Master's Degree,YES,Metropolitan,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,Moderate,low
INDIA,Millennials,Low,Male,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,Moderate,high
INDIA,Gen Z,Low,Female,University Graduate,NO,Rural Areas,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,Moderate,low
INDIA,Millennials,Medium High,Male,Master's Degree,YES,Metropolitan,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,Moderate,moderate
INDIA,Gen Z,Low,Male,Highschool Graduate,YES,Metropolitan,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,Moderate,high
INDIA,Millennials,Medium,Male,Master's Degree,YES,Metropolitan,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,Moderate,none
INDIA,Millennials,Medium High,Male,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,Low,high
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,Moderate,moderate
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,Moderate,moderate
INDIA,Gen Z,Medium,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,Moderate,moderate
INDIA,Millennials,Medium,Male,University Graduate,YES,Metropolitan,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,High,moderate
INDIA,Millennials,Low,Female,Master's Degree,YES,Metropolitan,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,Moderate,low
INDIA,Gen Z,Low,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,High,moderate
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,Moderate,moderate
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,High,moderate
INDIA,Millennials,Medium,Male,University Graduate,NO,Metropolitan,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,Moderate,moderate
INDIA,Millennials,Medium,Male,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,Moderate,moderate
INDIA,Gen Z,Low,Male,University Graduate,YES,Rural Areas,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,High,none
INDIA,Millennials,Medium,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,Moderate,moderate
INDIA,Gen Z,High,Male,University Graduate,YES,Metropolitan,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,Moderate,high
INDIA,Millennials,Low,Male,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,Moderate,moderate
INDIA,Gen Z,Low,Male,University Graduate,YES,Metropolitan,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,Moderate,high
INDIA,Gen Z,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,High,moderate
INDIA,Gen Z,Low,Male,University Graduate,YES,Metropolitan,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Low,high
INDIA,Millennials,Medium,Male,University Graduate,YES,Metropolitan,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,Moderate,low
INDIA,Millennials,Medium,Male,University Graduate,YES,Metropolitan,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,Moderate,low
INDIA,Millennials,Medium,Male,Master's Degree,YES,Metropolitan,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,Low,moderate
INDIA,Gen Z,Medium,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,Moderate,high
INDIA,Gen Z,Low,Male,University Graduate,NO,Rural Areas,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,Moderate,moderate
INDIA,Gen Z,Low,Male,University Graduate,NO,Rural Areas,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,Moderate,moderate
INDIA,Millennials,Medium,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,Moderate,high
INDIA,Gen Z,Low,Female,University Graduate,YES,Metropolitan,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,Moderate,high
INDIA,Millennials,Low,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,Moderate,low
INDIA,Gen Z,Low,Male,University Graduate,NO,Rural Areas,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,Moderate,low
INDIA,Gen Z,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,High,high
INDIA,Gen Z,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,Moderate,low
INDIA,Gen Z,Low,Female,Highschool Graduate,NO,Rural Areas,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,Moderate,low
CHINA,Millennials,Medium High,Female,University Graduate,NO,Suburban Areas,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,High,none
CHINA,Gen X,High,Female,University Graduate,YES,Suburban Areas,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,High,moderate
CHINA,Millennials,High,Male,University Graduate,NO,Suburban Areas,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,Moderate,none
CHINA,Millennials,High,Male,University Graduate,NO,Rural Areas,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,High,none
CHINA,Millennials,Medium High,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,Moderate,moderate
